user_id,credit_id,rating
user_id,credit_id,rating
1,55902,1
1,55893,1
1,55911,1
1,55896,1
1,55907,1
1,55910,1
1,55898,1
1,55900,1
1,55905,1
1,55901,1
1,55906,1
1,55888,1
1,55908,1
1,55890,1
1,55903,1
1,55892,1
1,55897,1
1,55889,1
1,55899,1
1,55904,1
1,55895,1
1,55891,1
1,55894,1
1,55909,1
1,21016,2
1,21012,2
1,21014,2
1,21018,2
1,21020,2
1,21021,2
1,21024,2
1,21017,2
1,21011,2
1,21008,2
1,21019,2
1,21022,2
1,21023,2
1,21015,2
1,21013,2
1,21009,2
1,21025,2
1,21010,2
1,72853,2.5
1,72851,2.5
1,72857,2.5
1,72852,2.5
1,72855,2.5
1,72854,2.5
1,72850,2.5
1,72856,2.5
2,73149,5
2,73156,5
2,73153,5
2,73155,5
2,73150,5
2,73154,5
2,73158,5
2,73151,5
2,73152,5
2,73157,5
2,2112,4
2,2116,4
2,2110,4
2,2113,4
2,2115,4
2,2111,4
2,2117,4
2,2109,4
2,2108,4
2,2114,4
2,7360,3
2,7362,3
2,7358,3
2,7354,3
2,7355,3
2,7356,3
2,7357,3
2,7359,3
2,7363,3
2,7361,3
2,43930,4
2,43936,4
2,43940,4
2,43942,4
2,43928,4
2,43934,4
2,43937,4
2,43945,4
2,43932,4
2,43927,4
2,43933,4
2,43926,4
2,43944,4
2,43935,4
2,43938,4
2,43925,4
2,43931,4
2,43929,4
2,43943,4
2,43941,4
2,43939,4
2,43924,4
2,31910,3
2,31914,3
2,31900,3
2,31919,3
2,31915,3
2,31911,3
2,31899,3
2,31906,3
2,31913,3
2,31918,3
2,31907,3
2,31912,3
2,31901,3
2,31904,3
2,31916,3
2,31903,3
2,31921,3
2,31909,3
2,31917,3
2,31905,3
2,31908,3
2,31920,3
2,31902,3
2,8432,3
2,8436,3
2,8439,3
2,8429,3
2,8428,3
2,8426,3
2,8431,3
2,8438,3
2,8427,3
2,8430,3
2,8433,3
2,8435,3
2,8434,3
2,8437,3
2,8425,3
2,7341,3
2,7343,3
2,7338,3
2,7336,3
2,7342,3
2,7345,3
2,7339,3
2,7349,3
2,7351,3
2,7347,3
2,7352,3
2,7340,3
2,7344,3
2,7346,3
2,7350,3
2,7348,3
2,7353,3
2,7335,3
2,7337,3
2,50311,5
2,37165,3
2,37172,3
2,37175,3
2,37174,3
2,37171,3
2,37168,3
2,37179,3
2,37170,3
2,37173,3
2,37166,3
2,37169,3
2,37167,3
2,37176,3
2,37177,3
2,37178,3
2,18686,4
2,18684,4
2,18674,4
2,18683,4
2,18677,4
2,18687,4
2,18676,4
2,18675,4
2,18678,4
